Feature1,Feature2,Class
2.2341977819644954,-1.9405972118995796,2.0
1.941636639511334,-1.2709846501351476,2.0
3.647365480520514,-3.027788896079571,2.0
1.184156543438029,-0.40422292671367366,1.0
2.261971573568807,-1.7759956757868505,2.0
1.7354399012273736,-2.6100293193494144,2.0
-2.4179925890862854,-1.5901928353533776,0.0
2.9966420784083705,3.062695007966575,1.0
-1.6122095580661608,-2.0983399226593513,0.0
-1.0442949941296078,-2.355550316119639,0.0
1.194947108900842,-1.9049890102574665,2.0
2.950670542124807,-1.3169413638461795,2.0
3.41590600490511,2.9423782723390652,1.0
1.2606213150469778,-2.895369897201931,2.0
2.224880952778967,1.4601485375662455,1.0
1.7475884566360067,-2.6305150123837446,2.0
1.41074796669518,1.333539842373935,1.0
1.2943251029117273,1.0295679371819757,1.0
-3.6120457210455004,-1.0947912686776906,0.0
2.8895285235447066,-1.948460542841692,2.0
2.243364074263361,2.0055180170866493,1.0
2.2911267377890328,-1.8915399788026312,2.0
0.39019119849564077,-2.7615618058368594,2.0
1.1135537998299327,-1.9696878046957762,2.0
2.290982165615966,-1.3093295185859137,2.0
1.999602398298296,3.422284987523434,1.0
1.7065472918604159,-1.8411342878035655,2.0
1.2293483328497166,0.8060449255203261,1.0
2.0393226969771385,-2.581745590738693,2.0
2.192666302328104,-2.3701489510048543,2.0
-2.9668441143110016,-0.8026213430373401,0.0
1.6957746577319686,-2.555379021865505,2.0
3.3188577040749134,-1.949041028008094,2.0
1.3290199240188665,-2.6847740205015813,2.0
1.346888711131381,-2.1789965258134174,2.0
1.4021733849493971,1.60349732261668,1.0
1.0826347356603123,-2.034287563744445,2.0
2.6197213621341104,-1.318767388182053,2.0
2.66661834905667,-2.5128221829223594,2.0
1.7096378727532995,1.8965276587020488,1.0
1.2241077148324666,-2.938077418506436,2.0
2.0549563696440343,2.598850637825983,1.0
3.7305216641214898,3.786650540891009,1.0
3.064458864081754,-1.5547549073848939,2.0
2.2753608662393225,1.0862519188122042,1.0
1.8339095807229584,-2.3621358543436464,2.0
2.2267400200408343,3.627474007212114,1.0
0.9600278645080129,-1.853232403056109,2.0
1.6881620886420179,0.0596139193938543,1.0
1.296379487292774,-2.1325088906872276,2.0
1.4693702186084654,2.0206987732528403,1.0
1.5416336875408272,-2.33616576457326,2.0
1.3318908067447774,-2.2741502421919626,2.0
2.7857179626436475,-2.2261335790720334,2.0
0.8876006758580639,-2.4279143160673216,2.0
2.8652801776843786,3.9301130780409177,1.0
1.4387555823020959,-1.9115926963789227,2.0
-1.0310899390315265,-2.4856141194332935,0.0
2.149615982738469,-2.999258587512324,2.0
1.3257396963334513,-1.7489000206319887,2.0
1.1267861410626052,1.3958089330359087,1.0
3.9527080136369745,-1.4538179095481714,2.0
1.9297286704040877,1.1788305276023225,1.0
-3.1390587301004,-1.1062585937708194,0.0
2.2479554556178223,-1.6997797360751825,2.0
1.3959096348609965,-0.2995503238231647,1.0
0.9452506710973807,-1.6312027491989287,2.0
2.7029567698890133,-1.9378815335377264,2.0
1.2426137012893894,-2.1744122411995934,2.0
2.37591108029344,-1.6363191446660945,2.0
-4.75805307504541,-1.461536638635291,0.0
1.0705942928964194,-2.454959628995388,2.0
1.486692367584336,-2.43711189153147,2.0
2.7205836291117533,-1.0476496842558567,2.0
2.942950454610206,3.033370708425693,1.0
2.2023586885819464,-2.6702173871785577,2.0
2.5707832479622144,-2.1580534491169305,2.0
0.6552241803311054,-2.4086047609908627,2.0
2.2932611994154017,-2.355862981832622,2.0
2.9289451520513854,-1.2076601819707768,2.0
2.546637447892663,2.6888051600660843,1.0
2.311803700601981,-1.4473283338854768,2.0
2.3522357344980493,1.6449576193487692,1.0
1.9898832755033904,1.2554648653133815,1.0
1.7049451023120146,2.192029852560898,1.0
-1.853986025794345,-1.6743595573348324,0.0
2.177504301322034,-1.6800590253524788,2.0
3.294674936184598,-1.5840138751769803,2.0
1.1157074389381796,-3.7549604643020587,0.0
1.0985212319513469,-2.7145593844744593,2.0
1.0276367306185967,-2.3285816551370635,2.0
2.961142083630828,-1.4632421073792237,2.0
1.5253482996748557,2.1135212400408614,1.0
1.6480113692542766,0.6910936308443696,1.0
2.5144021865480752,-1.473472417513116,2.0
2.7893368818141253,-2.2121390877345517,2.0
2.4712365616332326,3.7915716373770127,1.0
1.041233825368116,0.21300389110901596,1.0
2.041485900340681,1.5910945051407883,1.0
3.122855688654227,-1.8682747101422401,2.0
1.617497933447366,-2.085866457129498,2.0
1.253307826144975,0.8494857519650736,1.0
0.9886757412447036,1.0540007907893822,1.0
2.4445490163237227,-1.873723087377793,2.0
0.6248487198304518,-1.5019112648304158,2.0
1.6231157983468714,-1.955644905631571,2.0
1.6664507579273578,-2.415296937133981,2.0
1.9754766889378794,-2.3149476559240503,2.0
2.0745665458384615,-1.8016740465939873,2.0
3.157871706252943,2.801539368455334,1.0
2.0574008187358506,2.091671390670851,1.0
1.829029470433792,-1.9665187708492549,2.0
1.7201346546155865,0.8977636061304359,1.0
1.553132670841645,1.3600119184216928,1.0
2.9204636253416902,-1.7622074400170504,2.0
3.390903256502523,-1.851833550601392,2.0
3.3044847002676376,3.6579470504031373,1.0
1.8569639183189826,-2.59895506424069,2.0
1.8772571800320292,1.027048092801317,1.0
2.4387635331777284,-2.17781951829689,2.0
2.7871046911473134,-1.034119787577743,2.0
2.890799903283322,2.147194348210752,1.0
1.7067192649658993,1.945881343467751,1.0
1.5046174702656785,0.9806477706443109,1.0
-2.957188167415373,-1.097160145083433,0.0
1.2458598828844498,-2.5378069950769753,2.0
1.3974595595991308,2.2297661929268897,1.0
1.4121054111563731,-2.2036763119356664,2.0
2.0000227841654925,0.7516847177794619,1.0
2.1812022370268993,-2.270059498218808,2.0
