Id,SalePrice
1461,141376.2939
1462,167800.1112
1463,219079.8117
1464,228506.2075
1465,197919.5687
1466,193174.8433
1467,192563.5395
1468,182454.5932
1469,195410.0761
1470,134493.4359
1471,205205.3195
1472,109010.9334
1473,112902.5855
1474,159185.1073
1475,122376.3579
1476,365168.7521
1477,251819.2641
1478,296065.7203
1479,284458.4524
1480,499672.5609
1481,331235.8542
1482,220816.0971
1483,190106.6609
1484,177551.7478
1485,197640.9496
1486,212000.6008
1487,343370.4225
1488,252336.452
1489,214486.0177
1490,276028.7232
1491,205483.6072
1492,96701.3447
1493,190373.9916
1494,304324.1619
1495,303776.7464
1496,273694.7783
1497,201529.019
1498,174460.2637
1499,168670.3173
1500,174143.5202
1501,198715.0797
1502,160736.9851
1503,298151.8982
1504,259069.5961
1505,248883.3223
1506,197133.5631
1507,283486.7151
1508,223662.336
1509,165944.0533
1510,152630.5068
1511,154279.8326
1512,180100.6711
1513,152967.4137
1514,165593.0284
1515,226016.5149
1516,156410.2063
1517,183082.241
1518,141007.8601
1519,240605.1844
1520,147959.902
1521,150495.9041
1522,192644.7018
1523,124687.5058
1524,128930.6753
1525,134868.572
1526,124026.1543
1527,115636.0085
1528,133410.6714
1529,158309.2355
1530,185592.1492
1531,133197.3486
1532,107558.4212
1533,152711.2338
1534,124001.9449
1535,169310.6482
1536,117623.7335
1537,81731.9505
1538,160394.2867
1539,210948.6813
1540,105273.9573
1541,147773.6598
1542,157103.6325
1543,214834.9985
1544,86566.527
1545,102034.2673
1546,134096.2127
1547,148142.1759
1548,139424.2757
1549,123257.2078
1550,159006.6587
1551,124450.2719
1552,157272.0427
1553,167650.1736
1554,126891.9436
1555,186596.3849
1556,91452.9701
1557,116085.3305
1558,95620.8529
1559,90668.4145
1560,155560.2487
1561,145558.1163
1562,141200.0075
1563,128521.3503
1564,178455.4738
1565,164620.397
1566,246526.8488
1567,86156.8356
1568,249483.4422
1569,162864.2379
1570,144574.558
1571,143521.0665
1572,157974.6975
1573,266053.7661
1574,112570.7081
1575,240200.8897
1576,260011.9105
1577,211994.0084
1578,148467.4771
1579,166335.7245
1580,209225.3766
1581,158046.5179
1582,129825.0436
1583,329768.7282
1584,257608.9485
1585,153353.6234
1586,80572.8152
1587,105867.3952
1588,162544.1038
1589,99021.6095
1590,139358.0726
1591,107353.4372
1592,130544.8239
1593,128749.086
1594,155731.408
1595,136560.5194
1596,273404.9751
1597,201876.5754
1598,215288.3221
1599,169716.7962
1600,179094.1103
1601,79997.2978
1602,124233.6497
1603,75123.2553
1604,308532.2459
1605,265350.3579
1606,179148.3239
1607,182606.8006
1608,220570.5428
1609,203379.0146
1610,167821.829
1611,145079.0393
1612,191074.5737
1613,182566.9595
1614,134542.8195
1615,93891.0393
1616,81643.213
1617,97420.1748
1618,133866.1431
1619,159568.6217
1620,196780.3191
1621,156353.7778
1622,151746.313
1623,301846.1678
1624,267047.9016
1625,133389.8678
1626,174998.1183
1627,218722.7057
1628,292433.0507
1629,188063.745
1630,356480.9291
1631,228123.1599
1632,261143.4721
1633,183449.5528
1634,217790.0363
1635,202162.8826
1636,168044.617
1637,221957.7684
1638,195595.5117
1639,197116.8111
1640,251209.6104
1641,195447.6274
1642,265177.1691
1643,252695.5318
1644,255337.8612
1645,215914.1756
1646,166207.6309
1647,159786.4014
1648,141637.1293
1649,150110.0412
1650,123781.8932
1651,133427.8702
1652,103259.2312
1653,104880.2069
1654,158464.2062
1655,145276.9659
1656,154773.0894
1657,162134.1049
1658,160690.6294
1659,126016.2427
1660,175037.7348
1661,437008.4443
1662,395182.8976
1663,413795.4727
1664,419335.2871
1665,316376.5221
1666,349750.0908
1667,347292.1798
1668,334342.3177
1669,301720.9159
1670,357864.5477
1671,276244.1827
1672,440452.9848
1673,329208.8002
1674,269528.1296
1675,216864.4438
1676,207482.9374
1677,239002.7724
1678,402476.5722
1679,412767.4342
1680,378658.8704
1681,269914.0639
1682,302720.5467
1683,192535.5539
1684,187506.6438
1685,196595.6285
1686,186671.8361
1687,189422.2644
1688,206548.5469
1689,217980.0025
1690,211113.6417
1691,192491.0973
1692,279139.3158
1693,184926.7082
1694,198166.3346
1695,175008.7401
1696,306811.5966
1697,181768.1339
1698,379104.8787
1699,337830.875
1700,282010.688
1701,291419.8491
1702,256238.2206
1703,273054.5801
1704,293209.5925
1705,251116.8443
1706,402995.7198
1707,244220.2505
1708,235809.3614
1709,273960.6072
1710,237738.7084
1711,270727.4828
1712,297153.3308
1713,305724.3829
1714,254919.1144
1715,223701.6866
1716,198152.1883
1717,177327.5546
1718,144256.8522
1719,222081.2047
1720,246197.9847
1721,172284.8722
1722,133542.9948
1723,168766.6655
1724,215280.5649
1725,255715.6597
1726,220793.3784
1727,175748.353
1728,186456.3149
1729,179254.9368
1730,174184.02
1731,124729.1383
1732,141021.9755
1733,125785.0441
1734,123164.1357
1735,139471.5369
1736,126171.981
1737,306972.1736
1738,258370.7847
1739,262082.7834
1740,271815.8508
1741,222858.1221
1742,188587.0559
1743,190017.2861
1744,320554.3571
1745,226709.3618
1746,176656.7067
1747,231208.273
1748,242647.8196
1749,165296.1599
1750,136154.7003
1751,263311.812
1752,128269.2018
1753,154070.7152
1754,200116.193
1755,170900.4159
1756,130125.8972
1757,131259.2726
1758,157730.6996
1759,170927.2065
1760,179875.5773
1761,155065.2176
1762,196033.9407
1763,183917.2634
1764,125979.6745
1765,167264.5953
1766,185827.234
1767,240824.3643
1768,154744.2156
1769,170593.57
1770,157997.7432
1771,134464.1936
1772,144229.6339
1773,147128.1902
1774,157126.1201
1775,147052.2676
1776,128557.152
1777,122779.4944
1778,154153.3489
1779,131494.7885
1780,173365.2558
1781,138429.776
1782,105518.5274
1783,158068.0609
1784,117628.899
1785,131489.7799
1786,170691.5155
1787,192358.0288
1788,70230.7578
1789,97619.2865
1790,92840.499
1791,189579.2759
1792,165483.0066
1793,138979.3141
1794,158855.8044
1795,146536.0098
1796,139168.5188
1797,124111.5538
1798,139135.8553
1799,123913.2055
1800,141303.1233
1801,146987.8921
1802,139858.0687
1803,156674.2128
1804,157263.7938
1805,146001.8578
1806,128715.9503
1807,137449.626
1808,123633.7594
1809,130592.9597
1810,156665.544
1811,105200.6148
1812,102492.149
1813,128836.3834
1814,103483.962
1815,64334.8284
1816,97735.94
1817,125655.6512
1818,172525.6196
1819,140017.7916
1820,64499.181
1821,131550.0967
1822,158103.5178
1823,42221.9525
1824,140193.0046
1825,152922.1014
1826,120461.1878
1827,107405.7362
1828,151056.1157
1829,117478.4275
1830,148530.7514
1831,156720.2268
1832,106913.6637
1833,154116.2475
1834,141698.8871
1835,131477.722
1836,133990.4242
1837,100851.7844
1838,130372.3015
1839,107510.24
1840,172414.8532
1841,144880.8919
1842,84466.2371
1843,143595.7036
1844,148878.4678
1845,159027.2046
1846,161811.2736
1847,196186.8738
1848,71404.3333
1849,125146.5267
1850,128703.0949
1851,165913.143
1852,134585.4373
1853,155798.0787
1854,173707.6755
1855,157754.7986
1856,247603.5006
1857,181710.0808
1858,156393.7556
1859,133582.3258
1860,165162.6892
1861,132767.9252
1862,274191.6963
1863,259106.29
1864,259106.29
1865,334896.3797
1866,346647.2587
1867,248850.2891
1868,344478.0742
1869,216013.6112
1870,235863.1911
1871,261474.6873
1872,199246.6151
1873,260815.8609
1874,166516.92
1875,205717.3465
1876,215249.4342
1877,230454.404
1878,223883.0027
1879,147715.5834
1880,145191.8997
1881,266672.4003
1882,273977.7187
1883,200746.3209
1884,227767.8584
1885,258041.4736
1886,313646.635
1887,223302.7353
1888,297396.169
1889,189363.6255
1890,132364.6685
1891,151001.553
1892,110122.669
1893,140821.3248
1894,136683.7695
1895,150771.4941
1896,139256.6182
1897,143867.2674
1898,124964.7869
1899,171836.5259
1900,159391.2995
1901,190426.376
1902,161396.9585
1903,227738.3075
1904,164100.9925
1905,210871.5051
1906,163684.8936
1907,225820.4979
1908,119217.4649
1909,150147.6229
1910,131737.3767
1911,238488.1547
1912,346559.3745
1913,174833.0127
1914,58339.0461
1915,362475.8353
1916,55314.8311
1917,271315.525
1918,153289.6424
1919,184949.8035
1920,161424.7501
1921,422451.2064
1922,338590.8736
1923,225154.059
1924,238117.9421
1925,211249.8146
1926,402036.3089
1927,150626.7727
1928,168029.1006
1929,136089.6516
1930,160105.572
1931,168267.4407
1932,152771.132
1933,204843.3787
1934,208596.7515
1935,187635.6423
1936,218590.5042
1937,204659.6455
1938,197628.4991
1939,263935.7822
1940,197199.7379
1941,192111.8174
1942,210402.5638
1943,224099.9844
1944,394873.7415
1945,413160.3246
1946,171843.8438
1947,339682.9478
1948,169235.6302
1949,270661.5902
1950,186787.3607
1951,274207.7175
1952,222539.149
1953,176104.9534
1954,187159.6393
1955,140383.6931
1956,290142.9546
1957,159607.8752
1958,335942.9121
1959,148443.4224
1960,127822.2581
1961,127614.7427
1962,107493.4938
1963,114322.2035
1964,122138.3662
1965,151077.1084
1966,142422.4393
1967,293423.6235
1968,435673.3254
1969,431657.1973
1970,416914.5411
1971,423978.2572
1972,360027.8005
1973,265171.3351
1974,344830.8932
1975,483379.6284
1976,285245.2756
1977,392882.1673
1978,370259.7574
1979,345702.0906
1980,206313.1583
1981,373630.1568
1982,227372.4939
1983,205003.7099
1984,177717.7195
1985,244744.0674
1986,233686.6278
1987,195927.7421
1988,200450.8724
1989,209435.2922
1990,232600.6789
1991,252087.9806
1992,232313.7952
1993,181317.069
1994,251535.3074
1995,193618.0555
1996,272338.8874
1997,317060.3112
1998,353556.6704
1999,311325.9728
2000,326587.3093
2001,294336.1499
2002,263550.8611
2003,298550.2942
2004,268386.5762
2005,233625.7362
